model_id,provider,open,url,release_date,size,input_cost,output_cost,display_name
hf-smollm2-1-7b-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct,02/2025,1700000000.0,,,SmolLM2-1.7B
hf-smollm3-3b-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,07/2025,3000000000.0,,,SmolLM3-3B
hf-smollm3-3b-base,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM3-3B-Base,07/2025,3000000000.0,,,SmolLM3-3B Base
fw-kimi-k2-instruct-0905,Moonshot AI,True,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905,09/2025,1000000000000.0,0.6,2.50,Kimi K2
fw-kimi-k2-thinking,Moonshot AI,True,https://huggingface.co/moonshotai/Kimi-K2-Thinking,11/2025,1000000000000.0,0.6,2.50,Kimi K2 Thinking
glm-4.1v-9b-thinking,Z.ai,True,https://huggingface.co/THUDM/GLM-4.1V-9B-Thinking,07/2025,9000000000.0,0.035,0.138,GLM-4.1V-9B Thinking
fw-glm-4.5,Z.ai,True,https://huggingface.co/zai-org/GLM-4.5,07/2025,355000000000.0,0.55,2.19,GLM-4.5
fw-glm-4.5-air,Z.ai,True,https://huggingface.co/zai-org/GLM-4.5-Air,07/2025,106000000000.0,0.22,0.88,GLM-4.5 Air
fw-glm-4.6,Z.ai,True,https://huggingface.co/zai-org/GLM-4.6,09/2025,357000000000.0,0.55,2.19,GLM-4.6
hf-olmo-2-0425-1b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-0425-1B-Instruct,04/2025,1000000000.0,,,Olmo-2 1B
hf-olmo-2-1124-7b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-1124-7B-Instruct,11/2024,7000000000.0,,,Olmo-2 7B
hf-olmo-2-1124-13b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-1124-13B-Instruct,11/2024,13000000000.0,,,Olmo-2 13B
hf-olmo-2-0325-32b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct,03/2025,32000000000.0,,,Olmo-2 32B
